filename,d,o,rx,ry,rz
100026.stl,225.84420258562233,50,-14.31,9.56,0
100027.stl,139.5365434948469,50,0,0,0
100028.stl,71.23264163944488,50,0,0,0
100029.stl,338.55718954756173,50,0,0,0
100030.stl,198.73357340014107,50,-29.00,-21.08,0
100031.stl,111.55659215301735,50,0,0,0
100032.stl,273.4329906577688,50,17.04,20.89,0
100033.stl,295.89798350263317,50,21.91,-19.73,0
100034.stl,316.42170934525984,50,8.22,-2.25,0
100035.stl,143.98072489041232,50,-9.99,19.06,0
100036.stl,75.28140886393348,50,9.12,-22.70,30
100037.stl,54.341170253901005,50,0,0,0
100040.stl,233.5572587270068,50,-24.10,-11.95,0
100046.stl,6.783747437268605,50,0,0,0
100047.stl,10.758132325343755,50,-25.69,-24.72,0
100070.stl,87.17961612135848,50,20.27,1.59,0
100071.stl,115.81394699062426,50,0,0,0
100072.stl,62.03734620360406,50,0,0,0
100139.stl,115.42366186343706,50,0,0,0
100173.stl,121.69786403615575,50,0,0,0
1001930.stl,88.35977246236027,50,0,0,0
1001931.stl,88.35977246236027,50,0,0,0
100281.stl,107.79203969144712,50,-18.42,19.85,0
100282.stl,150.17714406515535,50,0,0,0
100322.stl,219.96635365418192,50,0,0,0
100330.stl,88.91263957841349,50,0,0,0
100335.stl,114.56229395554342,50,0,0,0
100336.stl,58.512764080748745,50,0,0,0
100345.stl,151.96225388324785,50,0,0,0
100349.stl,139.0963457849743,50,-32.93,24.71,0
100471.stl,183.03657963677188,50,-23.35,20.58,0
100478.stl,40.20026341644423,50,0015,-90,0
1004824.stl,171.79794449959445,50,-86.60,-24.83,0
1004825.stl,30.620462821989285,50,90,15,0
1004826.stl,53.87321578997184,50,0,0,0
1004827.stl,89.31246502058863,50,27.53,16.95,0
100500.stl,181.093226315263,50,28.14,23.00,0
100506.stl,279.57420250648806,50,0,0,0
1005266.stl,97.16624347497546,50,90,50,0
1005267.stl,88.51786545631005,50,90,30,0
1005268.stl,91.0765147393026,50,90,20,0
1005269.stl,79.53071191990237,50,80,50,0
1005270.stl,91.437910298197,50,130,40,10
1005271.stl,92.1905115235546,50,90,89,0
1005272.stl,90.99137466833938,50,90,90,0
1005273.stl,92.27759075906545,50,90,110,12
1005275.stl,89.13216093832624,50,15,15,15
1005276.stl,109.88808737978005,50,10,180,10
1005277.stl,95.34097821812732,50,123,321,22
1005278.stl,99.26561421998365,50,17,171,17
1005279.stl,96.60003722248868,50,12,34,56
1005280.stl,91.81603652048842,50,123,321,123
1005281.stl,89.28139539730344,50,77,77,77
1005282.stl,91.24578554467966,50,0,0,0
1005283.stl,96.73912084108348,50,99,-18,53
1005284.stl,95.34482246112168,50,28,4,82
1005285.stl,14.344337027165174,50,29,10,20
1005286.stl,92.90071676190162,50,123,32,33
1005287.stl,89.44127155857429,50,64,82,157
1005288.stl,88.16358206396251,50,123,456,789
1005289.stl,95.13380820079497,50,26.60,8.97,0
1005290.stl,95.98994841519746,50,27.86,1.51,0
1005587.stl,349.22328342637917,50,0,0,0
100606.stl,282.78675203892374,50,60,50,0
100638.stl,44.55901551186013,50,-18.94,11.79,0
100639.stl,25.824188680800756,50,0,0,0
100640.stl,235.96402995277842,50,28.37,27.06,0
100641.stl,27.030190869642574,50,0,0,0
100642.stl,29.757575356920135,50,0,0,0
100643.stl,120.24687894484632,50,50,50,90
100644.stl,86.66579544433893,50,-21.84,25.54,0
100645.stl,117.00611101499872,50,0,0,0
100646.stl,83.44431071981407,50,0,0,0
100678.stl,64.79773653141095,50,0,0,0
100682.stl,157.07113327472024,50,0,0,0
100727.stl,23.13210100998881,50,0,0,0
100728.stl,36.641506519246725,50,0,0,0
100729.stl,49.583991245490054,50,0,0,0
100730.stl,51.8111907806491,50,0,0,0
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",87.78776617369893,50,-142.07,49.59,0
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,399.8075473097022,50,-71.20,2.73,0
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,2423.6388953966875,50,-90,0,0
Alexis of Russia_8007-alley-of-rulers-moscow.stl,427.89109583630903,50,-44.15,20.41,0
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,430.38059650576724,50,-37.19,-20.55,0
Arthur Ashe monument_arthur-ashe.stl,215.40821735933676,50,0,0,0
BoredFrog.stl,161.4635993508391,50,0,0,0
Boris Godunov_8009-alley-of-rulers-moscow.stl,353.66911224703375,50,-26.90,24.55,0
Bronze Monument to Adam Mickevich_model-9008.stl,248.71327499025264,50,0,0,0
Buddha of Bamiyan (Western)_buddhas-of-bamiyan.stl,513.8723679053957,50,0,0,0
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",183.25821499069943,50,0,0,0
Cambay style marble gravestone_bm-islam-stone-cambay-style.stl,192.39230122814223,50,0,0,0
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,313.11538293830716,50,0,0,0
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,220.8414224245755,50,0,0,0
Granite tub_vasca-in-granito.stl,201.8490241740624,50,-16.15,-0.62,0
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,183.7995300760413,50,0,0,0
J. E. B. Stuart Monument_jeb-stuart.stl,237.61039885596665,50,0,0,0
Jefferson Davis Memorial_davis-monument.stl,223.42489794660426,50,0,0,0
Large_Deep_One_ver4.stl,130.17690820013772,50,0,0,0
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,325.70462594480824,50,0,0,0
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",193.82508203816923,50,-90,0,0
Michael of Russia_8008-alley-of-rulers-moscow.stl,343.29971929416104,50,-90,90,0
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,193.04983326737786,50,-90,0,0
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,188.43766883406704,50,-90,0,0
Monkey God_monkey-god-sculpture.stl,207.58289316389877,50,-90,0,0
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,46.26755124361116,50,-90,0,0
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,184.52203831755048,50,-90,90,0
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,244.69558976320738,50,-90,90,0
Nilo Cesarini_nilo-cesarini.stl,200.28628031605257,50,-90,0,0
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,184.03904581111897,50,0,0,0
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,187.97039535908547,50,0,0,0
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,185.7620767814079,50,0,0,0
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",189.3030493401288,50,0,0,0
Prikurivauchiy_model-9002.stl,63.69341787315181,50,0,0,0
Religious monument in Minsk_model-9018.stl,105.69511320789333,50,0,0,0
Sandstone stela inscribed in Meroitic script_bm-meroitic-stela.stl,183.23679975784592,50,-3.86,-31.94,0
Sculpture at the Minsk Children's library_model-9010.stl,114.73301394353831,50,-90,3.20,0
Sculpture of a Lady on a Bench_model-9001.stl,78.35592823001473,50,0,0,0
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,111.88652766704284,50,-90,0,0
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,342.88860266315857,50,-90,45,-10
St. Charbel sculpture_model-9004.stl,93.9834382306791,50,-90,-90,-90
Statue of Saint George killing the Dragon_model-9003.stl,164.30047795960988,50,-90,-90,25
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,197.14273424680323,50,-90,0,0
Sviatoslav I_7999-alley-of-rulers-moscow.stl,437.9226788972788,50,-90,0,0
The Girl with an Umbrella_model-9000.stl,10.57912399122359,50,0,0,0
Virgin Mary sculpture_model-9005.stl,200.47051191458795,50,-90,0,0
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,302.1406307722053,50,-90,0,0
Vladimir the Great_8000-alley-of-rulers-moscow.stl,189.1853799223367,50,-90,0,0
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,411.2043760995664,50,-90,0,0
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,401.7582964671796,50,-90,0,0
Youth_model-9006.stl,123.1026058362679,50,-90,0,0
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,187.86890369779104,50,-90,0,0
piantafanculo_mano.stl,113.14002928156664,50,-90,0,0
