filename,d,o,rx,ry,rz
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",87.78776617369893,50,-88.96,-88.18,0.00
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,399.8075473097022,50,-71.83,2.16,0.00
Alexis of Russia_8007-alley-of-rulers-moscow.stl,427.89109583630903,50,-91.24,-0.60,0.00
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,430.38059650576724,50,-90.00,0.00,0.00
Arthur Ashe monument_arthur-ashe.stl,215.40821735933676,50,-90.22,1.89,0.00
BoredFrog.stl,161.4635993508391,50,-56.73,58.60,39.00
Boris Godunov_8009-alley-of-rulers-moscow.stl,353.66911224703375,50,-88.18,94.31,0.00
Bronze Monument to Adam Mickevich_model-9008.stl,248.71327499025264,50,-85.51,4.95,0.00
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",183.25821499069943,50,-82.21,-11.20,0.00
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,313.11538293830716,50,-89.35,100.50,0.00
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,220.8414224245755,50,-76.75,-9.88,0.00
Granite tub_vasca-in-granito.stl,201.8490241740624,50,-58.38,3.45,0.00
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,183.7995300760413,50,-81.87,30.79,0.00
J. E. B. Stuart Monument_jeb-stuart.stl,237.61039885596665,50,-93.03,-84.11,0.00
Jefferson Davis Memorial_davis-monument.stl,223.42489794660426,50,-88.36,-103.58,0.00
Large_Deep_One_ver4.stl,130.17690820013772,50,-85.66,1.25,0.00
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,325.70462594480824,50,-75.28,-48.77,-9.00
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",193.82508203816923,50,-80.33,4.37,0.00
Michael of Russia_8008-alley-of-rulers-moscow.stl,343.29971929416104,50,-90.14,94.43,0.00
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,193.04983326737786,50,-81.13,4.06,0.00
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,188.43766883406704,50,-76.87,6.33,0.00
Monkey God_monkey-god-sculpture.stl,207.58289316389877,50,-80.29,13.13,0.00
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,46.26755124361116,50,-70.44,3.62,0.00
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,184.52203831755048,50,-90.55,94.94,0.00
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,244.69558976320738,50,-81.23,3.53,0.00
Nilo Cesarini_nilo-cesarini.stl,200.28628031605257,50,-93.30,6.12,0.00
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,184.03904581111897,50,0,0,0
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,187.97039535908547,50,0,0,0
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,185.7620767814079,50,0,0,0
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",189.3030493401288,50,0,0,0
Prikurivauchiy_model-9002.stl,63.69341787315181,50,-89.24,20.06,0.00
Religious monument in Minsk_model-9018.stl,105.69511320789333,50,-84.42,-177.44,3.00
Sculpture at the Minsk Children's library_model-9010.stl,114.73301394353831,50,-84.70,3.92,0.00
Sculpture of a Lady on a Bench_model-9001.stl,78.35592823001473,50,-85.62,9.17,0.00
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,111.88652766704284,50,-90.81,2.33,0.00
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,342.88860266315857,50,-90.77,-87.68,0.00
St. Charbel sculpture_model-9004.stl,93.9834382306791,50,-97.22,1.04,0.00
Statue of Saint George killing the Dragon_model-9003.stl,164.30047795960988,50,-91.57,-22.90,0.00
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,197.14273424680323,50,-81.30,3.37,0.00
Sviatoslav I_7999-alley-of-rulers-moscow.stl,437.9226788972788,50,-86.82,6.45,0.00
The Girl with an Umbrella_model-9000.stl,10.57912399122359,50,0.00,0.00,0.00
Virgin Mary sculpture_model-9005.stl,200.47051191458795,50,-79.29,5.63,0.00
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,302.1406307722053,50,-81.55,6.72,0.00
Vladimir the Great_8000-alley-of-rulers-moscow.stl,189.1853799223367,50,-87.34,-0.99,0.00
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,411.2043760995664,50,-84.90,14.53,0.00
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,401.7582964671796,50,-78.30,0.65,0.00
Youth_model-9006.stl,123.1026058362679,50,-79.21,-2.88,0.00
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,187.86890369779104,50,-90.28,-5.98,0.00
piantafanculo_mano.stl,113.14002928156664,50,-76.78,4.95,0.00
