filename,d,o,rx,ry,rz
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",138.21,50,-88.96,-88.18,0.00
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",149.58,50,-88.96,-88.18,0.00
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",173.89,50,-88.96,-88.18,0.00
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",70.34,50,-88.96,-88.18,0.00
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",159.04,50,-88.96,-88.18,0.00
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,446.44,50,-71.83,2.16,0.00
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,622.11,50,-71.83,2.16,0.00
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,464.41,50,-71.83,2.16,0.00
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,384.81,50,-71.83,2.16,0.00
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,536.04,50,-71.83,2.16,0.00
Alexis of Russia_8007-alley-of-rulers-moscow.stl,295.44,50,-91.24,-0.60,0.00
Alexis of Russia_8007-alley-of-rulers-moscow.stl,475.03,50,-91.24,-0.60,0.00
Alexis of Russia_8007-alley-of-rulers-moscow.stl,539.99,50,-91.24,-0.60,0.00
Alexis of Russia_8007-alley-of-rulers-moscow.stl,836.52,50,-91.24,-0.60,0.00
Alexis of Russia_8007-alley-of-rulers-moscow.stl,586.87,50,-91.24,-0.60,0.00
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,798.47,50,-90.00,0.00,0.00
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,858.16,50,-90.00,0.00,0.00
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,328.97,50,-90.00,0.00,0.00
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,474.88,50,-90.00,0.00,0.00
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,406.01,50,-90.00,0.00,0.00
Arthur Ashe monument_arthur-ashe.stl,415.05,50,-90.22,1.89,0.00
Arthur Ashe monument_arthur-ashe.stl,331.34,50,-90.22,1.89,0.00
Arthur Ashe monument_arthur-ashe.stl,202.09,50,-90.22,1.89,0.00
Arthur Ashe monument_arthur-ashe.stl,424.61,50,-90.22,1.89,0.00
Arthur Ashe monument_arthur-ashe.stl,347.51,50,-90.22,1.89,0.00
BoredFrog.stl,248.08,50,-56.73,58.60,39.00
BoredFrog.stl,301.52,50,-56.73,58.60,39.00
BoredFrog.stl,157.11,50,-56.73,58.60,39.00
BoredFrog.stl,213.86,50,-56.73,58.60,39.00
BoredFrog.stl,133.11,50,-56.73,58.60,39.00
Boris Godunov_8009-alley-of-rulers-moscow.stl,655.82,50,-88.18,94.31,0.00
Boris Godunov_8009-alley-of-rulers-moscow.stl,599.01,50,-88.18,94.31,0.00
Boris Godunov_8009-alley-of-rulers-moscow.stl,608.78,50,-88.18,94.31,0.00
Boris Godunov_8009-alley-of-rulers-moscow.stl,523.01,50,-88.18,94.31,0.00
Boris Godunov_8009-alley-of-rulers-moscow.stl,377.18,50,-88.18,94.31,0.00
Bronze Monument to Adam Mickevich_model-9008.stl,267.17,50,-85.51,4.95,0.00
Bronze Monument to Adam Mickevich_model-9008.stl,341.50,50,-85.51,4.95,0.00
Bronze Monument to Adam Mickevich_model-9008.stl,248.32,50,-85.51,4.95,0.00
Bronze Monument to Adam Mickevich_model-9008.stl,205.53,50,-85.51,4.95,0.00
Bronze Monument to Adam Mickevich_model-9008.stl,328.07,50,-85.51,4.95,0.00
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",159.98,50,-82.21,-11.20,0.00
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",191.02,50,-82.21,-11.20,0.00
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",347.73,50,-82.21,-11.20,0.00
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",286.28,50,-82.21,-11.20,0.00
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",155.35,50,-82.21,-11.20,0.00
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,525.49,50,-89.35,100.50,0.00
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,347.60,50,-89.35,100.50,0.00
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,581.69,50,-89.35,100.50,0.00
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,235.86,50,-89.35,100.50,0.00
