filename,d,o,rx,ry,rz,left,right
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",138.21,50,-88.96,-88.18,0,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d138p21_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d138p21_right.PNG"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",149.58,50,-88.96,-88.18,0,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d149p58_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d149p58_right.PNG"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",173.89,50,-88.96,-88.18,0,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d173p89_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d173p89_right.PNG"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",70.34,50,-88.96,-88.18,0,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d70p34_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d70p34_right.PNG"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",159.04,50,-88.96,-88.18,0,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d159p04_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d159p04_right.PNG"
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,446.44,50,-71.83,2.16,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d446p44_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d446p44_right.PNG
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,622.11,50,-71.83,2.16,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d622p11_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d622p11_right.PNG
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,464.41,50,-71.83,2.16,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d464p41_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d464p41_right.PNG
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,384.81,50,-71.83,2.16,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d384p81_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d384p81_right.PNG
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,536.04,50,-71.83,2.16,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d536p04_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d536p04_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,295.44,50,-91.24,-0.6,0,Alexis of Russia_8007-alley-of-rulers-moscow_d295p44_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d295p44_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,475.03,50,-91.24,-0.6,0,Alexis of Russia_8007-alley-of-rulers-moscow_d475p03_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d475p03_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,539.99,50,-91.24,-0.6,0,Alexis of Russia_8007-alley-of-rulers-moscow_d539p99_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d539p99_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,836.52,50,-91.24,-0.6,0,Alexis of Russia_8007-alley-of-rulers-moscow_d836p52_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d836p52_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,586.87,50,-91.24,-0.6,0,Alexis of Russia_8007-alley-of-rulers-moscow_d586p87_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d586p87_right.PNG
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,798.47,50,-90,0,0,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d798p47_left.PNG,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d798p47_right.PNG
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,858.16,50,-90,0,0,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d858p16_left.PNG,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d858p16_right.PNG
