filename,d,o,rx,ry,rz
100026.stl,225.84420258562233,50,-59.82,10.13,0
100028.stl,71.23264163944488,50,0,0,0
100030.stl,198.73357340014107,50,-29.00,-21.08,0
100031.stl,111.55659215301735,50,0,0,0
100037.stl,75.341170253901,50,-55.78,46.8,19
100070.stl,98.1796161213585,50,14.27,1.59,0
100071.stl,115.81394699062426,50,-0.90,-33.71,0
100072.stl,62.03734620360406,50,-29.83,-17.58,84
100073.stl,62.03734620360406,50,-46,19,73
1001930.stl,88.35977246236027,50,-70,68,0
100331.stl,88.9126404434025,50,0,0,0
100349.stl,139.0963457849743,50,-73.93,51.71,0
100471.stl,183.03657963677188,50,-58.35,-0.42,-19
100478.stl,40.20026341644423,50,10,-56,0
1005266.stl,97.16624347497546,50,90,5,0
1005267.stl,88.51786545631005,50,90,0,0
1005268.stl,91.0765147393026,50,90,13,0
1005269.stl,79.53071191990237,50,80,-9,0
1005270.stl,91.437910298197,50,98,5,10
1005271.stl,92.1905115235546,50,90,7,0
1005272.stl,90.99137466833938,50,90,-8,0
1005273.stl,92.27759075906545,50,90,-2,12
1005275.stl,89.13216093832624,50,84,-3,15
1005276.stl,109.88808737978005,50,-85,180,10
1005277.stl,95.34097821812732,50,82,341,22
1005278.stl,99.26561421998365,50,-81,171,17
1005279.stl,96.60003722248868,50,79,-24,23
1005280.stl,91.81603652048842,50,72,-19,0
1005281.stl,89.28139539730344,50,92,-4,0
1005282.stl,91.24578554467966,50,79,0,0
1005283.stl,96.73912084108348,50,68,-18,53
1005284.stl,95.34482246112168,50,67,4,159
1005286.stl,92.90071676190162,50,128,5,33
1005287.stl,89.44127155857429,50,64,29,157
1005288.stl,88.16358206396251,50,80,-7,0
1005289.stl,95.13380820079497,50,73.6,-7.03,0
1005290.stl,95.98994841519746,50,75.86,1.51,0
1005291.stl,119.6444862199669,50,69,0,0
1005292.stl,95.50653899592244,50,75,0,0
1005587.stl,349.22328342637917,50,0,0,0
100606.stl,282.78675203892374,50,60,50,0
100641.stl,27.030190869642574,50,0,-21,0
100642.stl,29.757575356920135,50,-18,-31,0
100644.stl,86.66579544433893,50,-21.84,25.54,0
100678.stl,64.79773653141095,50,-48,-71,0
100682.stl,157.07113327472024,50,24,2,63
100727.stl,23.13210100998881,50,3,126,0
100729.stl,49.583991245490054,50,0,49,0
100730.stl,51.8111907806491,50,-72,0,0
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",87.78776617369893,50,-85.07,-95.41,3
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,399.8075473097022,50,-71.20,2.73,0
Alexis of Russia_8007-alley-of-rulers-moscow.stl,427.89109583630903,50,-90.15,8.41,0
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,430.38059650576724,50,-90.19,-20.55,0
Arthur Ashe monument_arthur-ashe.stl,215.40821735933676,50,-90,0,0
BoredFrog.stl,161.4635993508391,50,0,32,88
Boris Godunov_8009-alley-of-rulers-moscow.stl,353.66911224703375,50,-2.9,80.55,91
Bronze Monument to Adam Mickevich_model-9008.stl,248.71327499025264,50,-76,-23,0
Buddha of Bamiyan (Western)_buddhas-of-bamiyan.stl,513.8723679053957,50,-71,0,0
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",183.25821499069943,50,-83,-31,0
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,313.11538293830716,50,0,91,93
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,220.8414224245755,50,-87,-9,2
Granite tub_vasca-in-granito.stl,201.8490241740624,50,-60.15,-0.62,0
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,183.7995300760413,50,-68,0,0
J. E. B. Stuart Monument_jeb-stuart.stl,237.61039885596665,50,-21,-68,298
Jefferson Davis Memorial_davis-monument.stl,223.42489794660426,50,-94,-105,0
Large_Deep_One_ver4.stl,130.17690820013772,50,-98,-4,0
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,325.70462594480824,50,-70,-56,0
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",193.82508203816923,50,-90,0,0
Michael of Russia_8008-alley-of-rulers-moscow.stl,343.29971929416104,50,-90,90,0
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,193.04983326737786,50,-90,0,0
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,188.43766883406704,50,-90,0,0
Monkey God_monkey-god-sculpture.stl,207.58289316389877,50,-90,0,0
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,46.26755124361116,50,-90,0,0
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,184.52203831755048,50,-90,90,0
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,244.69558976320738,50,-90,4,0
Nilo Cesarini_nilo-cesarini.stl,200.28628031605257,50,-90,0,0
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,184.03904581111897,50,0,0,0
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,187.97039535908547,50,0,0,0
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,185.7620767814079,50,0,0,0
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",189.3030493401288,50,0,0,0
Prikurivauchiy_model-9002.stl,63.69341787315181,50,-93,0,0
Sculpture at the Minsk Children's library_model-9010.stl,114.73301394353831,50,-90,3.20,0
Sculpture of a Lady on a Bench_model-9001.stl,78.35592823001473,50,-86,-7,0
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,111.88652766704284,50,-90,0,0
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,342.88860266315857,50,-91,269,-2
St. Charbel sculpture_model-9004.stl,93.9834382306791,50,-96,-2,-1
Statue of Saint George killing the Dragon_model-9003.stl,164.30047795960988,50,-88,41,25
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,197.14273424680323,50,-90,0,0
Sviatoslav I_7999-alley-of-rulers-moscow.stl,437.9226788972788,50,-90,0,0
Virgin Mary sculpture_model-9005.stl,200.47051191458795,50,-90,0,0
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,302.1406307722053,50,-90,0,0
Vladimir the Great_8000-alley-of-rulers-moscow.stl,189.1853799223367,50,-90,0,0
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,411.2043760995664,50,-90,0,0
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,401.7582964671796,50,-90,0,0
Youth_model-9006.stl,123.1026058362679,50,-90,0,0
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,187.86890369779104,50,-90,0,0
piantafanculo_mano.stl,113.14002928156664,50,-90,0,0
