filename,d,o,rx,ry,rz
100026.stl,274.43,50,-59.82,10.13,0
100026.stl,214.74,50,-59.82,10.13,0
100026.stl,166.55,50,-59.82,10.13,0
100028.stl,54.29,50,0,0,0
100028.stl,79.40,50,0,0,0
100028.stl,63.13,50,0,0,0
100030.stl,146.53,50,-29.00,-21.08,0
100030.stl,144.06,50,-29.00,-21.08,0
100030.stl,270.27,50,-29.00,-21.08,0
100031.stl,79.20,50,0,0,0
100031.stl,155.37,50,0,0,0
100031.stl,127.42,50,0,0,0
100037.stl,109.66,50,-55.78,46.8,19
100037.stl,88.69,50,-55.78,46.8,19
100037.stl,91.64,50,-55.78,46.8,19
100070.stl,95.23,50,14.27,1.59,0
100070.stl,78.99,50,14.27,1.59,0
100070.stl,66.57,50,14.27,1.59,0
100071.stl,154.03,50,-0.90,-33.71,0
100071.stl,123.37,50,-0.90,-33.71,0
100071.stl,105.05,50,-0.90,-33.71,0
100072.stl,61.74,50,-29.83,-17.58,84
100072.stl,55.84,50,-29.83,-17.58,84
100072.stl,38.43,50,-29.83,-17.58,84
100073.stl,52.77,50,-46,19,73
100073.stl,58.71,50,-46,19,73
100073.stl,62.63,50,-46,19,73
1001930.stl,115.08,50,-70,68,0
1001930.stl,126.20,50,-70,68,0
1001930.stl,72.95,50,-70,68,0
100331.stl,124.08,50,0,0,0
100331.stl,57.89,50,0,0,0
100331.stl,97.39,50,0,0,0
100349.stl,122.09,50,-73.93,51.71,0
100349.stl,103.22,50,-73.93,51.71,0
100349.stl,128.24,50,-73.93,51.71,0
100471.stl,250.80,50,-58.35,-0.42,-19
100471.stl,144.02,50,-58.35,-0.42,-19
100471.stl,125.65,50,-58.35,-0.42,-19
100478.stl,58.24,50,10,-56,0
100478.stl,37.30,50,10,-56,0
100478.stl,35.78,50,10,-56,0
1005266.stl,76.32,50,90,5,0
1005266.stl,128.60,50,90,5,0
1005266.stl,126.94,50,90,5,0
1005267.stl,86.76,50,90,0,0
1005267.stl,82.02,50,90,0,0
1005267.stl,77.54,50,90,0,0
1005268.stl,98.23,50,90,13,0
1005268.stl,104.16,50,90,13,0
1005268.stl,104.51,50,90,13,0
1005269.stl,65.40,50,80,-9,0
1005269.stl,82.27,50,80,-9,0
1005269.stl,73.74,50,80,-9,0
1005270.stl,106.06,50,98,5,10
1005270.stl,102.88,50,98,5,10
1005270.stl,99.50,50,98,5,10
1005271.stl,133.20,50,90,7,0
1005271.stl,77.61,50,90,7,0
1005271.stl,79.68,50,90,7,0
1005272.stl,119.97,50,90,-8,0
1005272.stl,84.55,50,90,-8,0
1005272.stl,123.72,50,90,-8,0
1005273.stl,129.79,50,90,-2,12
1005273.stl,127.30,50,90,-2,12
1005273.stl,70.69,50,90,-2,12
1005275.stl,82.50,50,84,-3,15
1005275.stl,95.44,50,84,-3,15
1005275.stl,63.79,50,84,-3,15
1005276.stl,81.48,50,-85,180,10
1005276.stl,106.16,50,-85,180,10
1005276.stl,93.70,50,-85,180,10
1005277.stl,119.09,50,82,341,22
1005277.stl,80.82,50,82,341,22
1005277.stl,80.35,50,82,341,22
1005278.stl,133.04,50,-81,171,17
1005278.stl,129.39,50,-81,171,17
1005278.stl,80.87,50,-81,171,17
1005279.stl,124.79,50,79,-24,23
1005279.stl,76.33,50,79,-24,23
1005279.stl,81.84,50,79,-24,23
1005280.stl,91.57,50,72,-19,0
1005280.stl,129.27,50,72,-19,0
1005280.stl,89.43,50,72,-19,0
1005281.stl,54.73,50,92,-4,0
1005281.stl,75.39,50,92,-4,0
1005281.stl,91.23,50,92,-4,0
1005282.stl,100.59,50,79,0,0
1005282.stl,135.83,50,79,0,0
1005282.stl,107.12,50,79,0,0
1005283.stl,82.34,50,68,-18,53
1005283.stl,115.50,50,68,-18,53
1005283.stl,116.76,50,68,-18,53
1005284.stl,71.15,50,67,4,159
1005284.stl,59.34,50,67,4,159
1005284.stl,78.35,50,67,4,159
1005286.stl,64.08,50,128,5,33
1005286.stl,66.56,50,128,5,33
1005286.stl,76.17,50,128,5,33
1005287.stl,127.83,50,64,29,157
1005287.stl,82.45,50,64,29,157
1005287.stl,78.27,50,64,29,157
1005288.stl,122.35,50,80,-7,0
1005288.stl,90.99,50,80,-7,0
1005288.stl,79.56,50,80,-7,0
1005289.stl,81.15,50,73.6,-7.03,0
1005289.stl,73.48,50,73.6,-7.03,0
1005289.stl,62.24,50,73.6,-7.03,0
1005290.stl,141.28,50,75.86,1.51,0
1005290.stl,124.91,50,75.86,1.51,0
1005290.stl,132.98,50,75.86,1.51,0
1005291.stl,102.78,50,69,0,0
1005291.stl,162.13,50,69,0,0
1005291.stl,164.94,50,69,0,0
1005292.stl,118.21,50,75,0,0
