filename,d,o,rx,ry,rz,left,right
100026.stl,274.43,50,-59.82,10.13,0,100026_d274p43_left.PNG,100026_d274p43_right.PNG
100026.stl,214.74,50,-59.82,10.13,0,100026_d214p74_left.PNG,100026_d214p74_right.PNG
100026.stl,166.55,50,-59.82,10.13,0,100026_d166p55_left.PNG,100026_d166p55_right.PNG
100028.stl,54.29,50,0,0,0,100028_d54p29_left.PNG,100028_d54p29_right.PNG
100028.stl,79.40,50,0,0,0,100028_d79p40_left.PNG,100028_d79p40_right.PNG
100028.stl,63.13,50,0,0,0,100028_d63p13_left.PNG,100028_d63p13_right.PNG
100030.stl,146.53,50,-29,-21.08,0,100030_d146p53_left.PNG,100030_d146p53_right.PNG
100030.stl,144.06,50,-29,-21.08,0,100030_d144p06_left.PNG,100030_d144p06_right.PNG
100030.stl,270.27,50,-29,-21.08,0,100030_d270p27_left.PNG,100030_d270p27_right.PNG
100031.stl,79.20,50,0,0,0,100031_d79p20_left.PNG,100031_d79p20_right.PNG
100031.stl,155.37,50,0,0,0,100031_d155p37_left.PNG,100031_d155p37_right.PNG
100031.stl,127.42,50,0,0,0,100031_d127p42_left.PNG,100031_d127p42_right.PNG
100037.stl,109.66,50,-55.78,46.8,19,100037_d109p66_left.PNG,100037_d109p66_right.PNG
100037.stl,88.69,50,-55.78,46.8,19,100037_d88p69_left.PNG,100037_d88p69_right.PNG
100037.stl,91.64,50,-55.78,46.8,19,100037_d91p64_left.PNG,100037_d91p64_right.PNG
100070.stl,95.23,50,14.27,1.59,0,100070_d95p23_left.PNG,100070_d95p23_right.PNG
100070.stl,78.99,50,14.27,1.59,0,100070_d78p99_left.PNG,100070_d78p99_right.PNG
100070.stl,66.57,50,14.27,1.59,0,100070_d66p57_left.PNG,100070_d66p57_right.PNG
100071.stl,154.03,50,-0.9,-33.71,0,100071_d154p03_left.PNG,100071_d154p03_right.PNG
100071.stl,123.37,50,-0.9,-33.71,0,100071_d123p37_left.PNG,100071_d123p37_right.PNG
100071.stl,105.05,50,-0.9,-33.71,0,100071_d105p05_left.PNG,100071_d105p05_right.PNG
100072.stl,61.74,50,-29.83,-17.58,84,100072_d61p74_left.PNG,100072_d61p74_right.PNG
100072.stl,55.84,50,-29.83,-17.58,84,100072_d55p84_left.PNG,100072_d55p84_right.PNG
100072.stl,38.43,50,-29.83,-17.58,84,100072_d38p43_left.PNG,100072_d38p43_right.PNG
100073.stl,52.77,50,-46,19,73,100073_d52p77_left.PNG,100073_d52p77_right.PNG
100073.stl,58.71,50,-46,19,73,100073_d58p71_left.PNG,100073_d58p71_right.PNG
100073.stl,62.63,50,-46,19,73,100073_d62p63_left.PNG,100073_d62p63_right.PNG
1001930.stl,115.08,50,-70,68,0,1001930_d115p08_left.PNG,1001930_d115p08_right.PNG
1001930.stl,126.20,50,-70,68,0,1001930_d126p20_left.PNG,1001930_d126p20_right.PNG
1001930.stl,72.95,50,-70,68,0,1001930_d72p95_left.PNG,1001930_d72p95_right.PNG
100331.stl,124.08,50,0,0,0,100331_d124p08_left.PNG,100331_d124p08_right.PNG
100331.stl,57.89,50,0,0,0,100331_d57p89_left.PNG,100331_d57p89_right.PNG
100331.stl,97.39,50,0,0,0,100331_d97p39_left.PNG,100331_d97p39_right.PNG
100349.stl,122.09,50,-73.93,51.71,0,100349_d122p09_left.PNG,100349_d122p09_right.PNG
100349.stl,103.22,50,-73.93,51.71,0,100349_d103p22_left.PNG,100349_d103p22_right.PNG
100349.stl,128.24,50,-73.93,51.71,0,100349_d128p24_left.PNG,100349_d128p24_right.PNG
100471.stl,250.80,50,-58.35,-0.42,-19,100471_d250p80_left.PNG,100471_d250p80_right.PNG
100471.stl,144.02,50,-58.35,-0.42,-19,100471_d144p02_left.PNG,100471_d144p02_right.PNG
100471.stl,125.65,50,-58.35,-0.42,-19,100471_d125p65_left.PNG,100471_d125p65_right.PNG
100478.stl,58.24,50,10,-56,0,100478_d58p24_left.PNG,100478_d58p24_right.PNG
100478.stl,37.30,50,10,-56,0,100478_d37p30_left.PNG,100478_d37p30_right.PNG
100478.stl,35.78,50,10,-56,0,100478_d35p78_left.PNG,100478_d35p78_right.PNG
1005266.stl,76.32,50,90,5,0,1005266_d76p32_left.PNG,1005266_d76p32_right.PNG
1005266.stl,128.60,50,90,5,0,1005266_d128p60_left.PNG,1005266_d128p60_right.PNG
1005266.stl,126.94,50,90,5,0,1005266_d126p94_left.PNG,1005266_d126p94_right.PNG
1005267.stl,86.76,50,90,0,0,1005267_d86p76_left.PNG,1005267_d86p76_right.PNG
1005267.stl,82.02,50,90,0,0,1005267_d82p02_left.PNG,1005267_d82p02_right.PNG
1005267.stl,77.54,50,90,0,0,1005267_d77p54_left.PNG,1005267_d77p54_right.PNG
1005268.stl,98.23,50,90,13,0,1005268_d98p23_left.PNG,1005268_d98p23_right.PNG
1005268.stl,104.16,50,90,13,0,1005268_d104p16_left.PNG,1005268_d104p16_right.PNG
1005268.stl,104.51,50,90,13,0,1005268_d104p51_left.PNG,1005268_d104p51_right.PNG
1005269.stl,65.40,50,80,-9,0,1005269_d65p40_left.PNG,1005269_d65p40_right.PNG
1005269.stl,82.27,50,80,-9,0,1005269_d82p27_left.PNG,1005269_d82p27_right.PNG
1005269.stl,73.74,50,80,-9,0,1005269_d73p74_left.PNG,1005269_d73p74_right.PNG
1005270.stl,106.06,50,98,5,10,1005270_d106p06_left.PNG,1005270_d106p06_right.PNG
1005270.stl,102.88,50,98,5,10,1005270_d102p88_left.PNG,1005270_d102p88_right.PNG
1005270.stl,99.50,50,98,5,10,1005270_d99p50_left.PNG,1005270_d99p50_right.PNG
1005271.stl,133.20,50,90,7,0,1005271_d133p20_left.PNG,1005271_d133p20_right.PNG
1005271.stl,77.61,50,90,7,0,1005271_d77p61_left.PNG,1005271_d77p61_right.PNG
1005271.stl,79.68,50,90,7,0,1005271_d79p68_left.PNG,1005271_d79p68_right.PNG
1005272.stl,119.97,50,90,-8,0,1005272_d119p97_left.PNG,1005272_d119p97_right.PNG
1005272.stl,84.55,50,90,-8,0,1005272_d84p55_left.PNG,1005272_d84p55_right.PNG
1005272.stl,123.72,50,90,-8,0,1005272_d123p72_left.PNG,1005272_d123p72_right.PNG
1005273.stl,129.79,50,90,-2,12,1005273_d129p79_left.PNG,1005273_d129p79_right.PNG
1005273.stl,127.30,50,90,-2,12,1005273_d127p30_left.PNG,1005273_d127p30_right.PNG
1005273.stl,70.69,50,90,-2,12,1005273_d70p69_left.PNG,1005273_d70p69_right.PNG
1005275.stl,82.50,50,84,-3,15,1005275_d82p50_left.PNG,1005275_d82p50_right.PNG
1005275.stl,95.44,50,84,-3,15,1005275_d95p44_left.PNG,1005275_d95p44_right.PNG
1005275.stl,63.79,50,84,-3,15,1005275_d63p79_left.PNG,1005275_d63p79_right.PNG
1005276.stl,81.48,50,-85,180,10,1005276_d81p48_left.PNG,1005276_d81p48_right.PNG
1005276.stl,106.16,50,-85,180,10,1005276_d106p16_left.PNG,1005276_d106p16_right.PNG
1005276.stl,93.70,50,-85,180,10,1005276_d93p70_left.PNG,1005276_d93p70_right.PNG
1005277.stl,119.09,50,82,341,22,1005277_d119p09_left.PNG,1005277_d119p09_right.PNG
1005277.stl,80.82,50,82,341,22,1005277_d80p82_left.PNG,1005277_d80p82_right.PNG
1005277.stl,80.35,50,82,341,22,1005277_d80p35_left.PNG,1005277_d80p35_right.PNG
1005278.stl,133.04,50,-81,171,17,1005278_d133p04_left.PNG,1005278_d133p04_right.PNG
1005278.stl,129.39,50,-81,171,17,1005278_d129p39_left.PNG,1005278_d129p39_right.PNG
1005278.stl,80.87,50,-81,171,17,1005278_d80p87_left.PNG,1005278_d80p87_right.PNG
1005279.stl,124.79,50,79,-24,23,1005279_d124p79_left.PNG,1005279_d124p79_right.PNG
1005279.stl,76.33,50,79,-24,23,1005279_d76p33_left.PNG,1005279_d76p33_right.PNG
1005279.stl,81.84,50,79,-24,23,1005279_d81p84_left.PNG,1005279_d81p84_right.PNG
1005280.stl,91.57,50,72,-19,0,1005280_d91p57_left.PNG,1005280_d91p57_right.PNG
1005280.stl,129.27,50,72,-19,0,1005280_d129p27_left.PNG,1005280_d129p27_right.PNG
1005280.stl,89.43,50,72,-19,0,1005280_d89p43_left.PNG,1005280_d89p43_right.PNG
1005281.stl,54.73,50,92,-4,0,1005281_d54p73_left.PNG,1005281_d54p73_right.PNG
1005281.stl,75.39,50,92,-4,0,1005281_d75p39_left.PNG,1005281_d75p39_right.PNG
1005281.stl,91.23,50,92,-4,0,1005281_d91p23_left.PNG,1005281_d91p23_right.PNG
1005282.stl,100.59,50,79,0,0,1005282_d100p59_left.PNG,1005282_d100p59_right.PNG
1005282.stl,135.83,50,79,0,0,1005282_d135p83_left.PNG,1005282_d135p83_right.PNG
1005282.stl,107.12,50,79,0,0,1005282_d107p12_left.PNG,1005282_d107p12_right.PNG
1005283.stl,82.34,50,68,-18,53,1005283_d82p34_left.PNG,1005283_d82p34_right.PNG
1005283.stl,115.50,50,68,-18,53,1005283_d115p50_left.PNG,1005283_d115p50_right.PNG
1005283.stl,116.76,50,68,-18,53,1005283_d116p76_left.PNG,1005283_d116p76_right.PNG
1005284.stl,71.15,50,67,4,159,1005284_d71p15_left.PNG,1005284_d71p15_right.PNG
1005284.stl,59.34,50,67,4,159,1005284_d59p34_left.PNG,1005284_d59p34_right.PNG
1005284.stl,78.35,50,67,4,159,1005284_d78p35_left.PNG,1005284_d78p35_right.PNG
1005286.stl,64.08,50,128,5,33,1005286_d64p08_left.PNG,1005286_d64p08_right.PNG
1005286.stl,66.56,50,128,5,33,1005286_d66p56_left.PNG,1005286_d66p56_right.PNG
1005286.stl,76.17,50,128,5,33,1005286_d76p17_left.PNG,1005286_d76p17_right.PNG
1005287.stl,127.83,50,64,29,157,1005287_d127p83_left.PNG,1005287_d127p83_right.PNG
1005287.stl,82.45,50,64,29,157,1005287_d82p45_left.PNG,1005287_d82p45_right.PNG
1005287.stl,78.27,50,64,29,157,1005287_d78p27_left.PNG,1005287_d78p27_right.PNG
1005288.stl,122.35,50,80,-7,0,1005288_d122p35_left.PNG,1005288_d122p35_right.PNG
1005288.stl,90.99,50,80,-7,0,1005288_d90p99_left.PNG,1005288_d90p99_right.PNG
1005288.stl,79.56,50,80,-7,0,1005288_d79p56_left.PNG,1005288_d79p56_right.PNG
1005289.stl,81.15,50,73.6,-7.03,0,1005289_d81p15_left.PNG,1005289_d81p15_right.PNG
1005289.stl,73.48,50,73.6,-7.03,0,1005289_d73p48_left.PNG,1005289_d73p48_right.PNG
1005289.stl,62.24,50,73.6,-7.03,0,1005289_d62p24_left.PNG,1005289_d62p24_right.PNG
1005290.stl,141.28,50,75.86,1.51,0,1005290_d141p28_left.PNG,1005290_d141p28_right.PNG
1005290.stl,124.91,50,75.86,1.51,0,1005290_d124p91_left.PNG,1005290_d124p91_right.PNG
1005290.stl,132.98,50,75.86,1.51,0,1005290_d132p98_left.PNG,1005290_d132p98_right.PNG
1005291.stl,102.78,50,69,0,0,1005291_d102p78_left.PNG,1005291_d102p78_right.PNG
1005291.stl,162.13,50,69,0,0,1005291_d162p13_left.PNG,1005291_d162p13_right.PNG
1005291.stl,164.94,50,69,0,0,1005291_d164p94_left.PNG,1005291_d164p94_right.PNG
1005292.stl,118.21,50,75,0,0,1005292_d118p21_left.PNG,1005292_d118p21_right.PNG
1005292.stl,104.44,50,75,0,0,1005292_d104p44_left.PNG,1005292_d104p44_right.PNG
1005292.stl,76.32,50,75,0,0,1005292_d76p32_left.PNG,1005292_d76p32_right.PNG
1005587.stl,318.30,50,0,0,0,1005587_d318p30_left.PNG,1005587_d318p30_right.PNG
1005587.stl,313.50,50,0,0,0,1005587_d313p50_left.PNG,1005587_d313p50_right.PNG
1005587.stl,276.13,50,0,0,0,1005587_d276p13_left.PNG,1005587_d276p13_right.PNG
100606.stl,170.15,50,60,50,0,100606_d170p15_left.PNG,100606_d170p15_right.PNG
100606.stl,412.10,50,60,50,0,100606_d412p10_left.PNG,100606_d412p10_right.PNG
100606.stl,358.48,50,60,50,0,100606_d358p48_left.PNG,100606_d358p48_right.PNG
100641.stl,40.10,50,0,-21,0,100641_d40p10_left.PNG,100641_d40p10_right.PNG
100641.stl,38.82,50,0,-21,0,100641_d38p82_left.PNG,100641_d38p82_right.PNG
100641.stl,39.39,50,0,-21,0,100641_d39p39_left.PNG,100641_d39p39_right.PNG
100642.stl,28.44,50,-18,-31,0,100642_d28p44_left.PNG,100642_d28p44_right.PNG
100642.stl,31.88,50,-18,-31,0,100642_d31p88_left.PNG,100642_d31p88_right.PNG
100642.stl,41.33,50,-18,-31,0,100642_d41p33_left.PNG,100642_d41p33_right.PNG
100644.stl,111.17,50,-21.84,25.54,0,100644_d111p17_left.PNG,100644_d111p17_right.PNG
100644.stl,74.61,50,-21.84,25.54,0,100644_d74p61_left.PNG,100644_d74p61_right.PNG
100644.stl,71.01,50,-21.84,25.54,0,100644_d71p01_left.PNG,100644_d71p01_right.PNG
100678.stl,51.22,50,-48,-71,0,100678_d51p22_left.PNG,100678_d51p22_right.PNG
100678.stl,64.01,50,-48,-71,0,100678_d64p01_left.PNG,100678_d64p01_right.PNG
100678.stl,39.57,50,-48,-71,0,100678_d39p57_left.PNG,100678_d39p57_right.PNG
100682.stl,102.42,50,24,2,63,100682_d102p42_left.PNG,100682_d102p42_right.PNG
100682.stl,122.81,50,24,2,63,100682_d122p81_left.PNG,100682_d122p81_right.PNG
100682.stl,224.99,50,24,2,63,100682_d224p99_left.PNG,100682_d224p99_right.PNG
100727.stl,25.15,50,3,126,0,100727_d25p15_left.PNG,100727_d25p15_right.PNG
100727.stl,25.30,50,3,126,0,100727_d25p30_left.PNG,100727_d25p30_right.PNG
100727.stl,33.01,50,3,126,0,100727_d33p01_left.PNG,100727_d33p01_right.PNG
100729.stl,55.88,50,0,49,0,100729_d55p88_left.PNG,100729_d55p88_right.PNG
100729.stl,55.48,50,0,49,0,100729_d55p48_left.PNG,100729_d55p48_right.PNG
100729.stl,68.56,50,0,49,0,100729_d68p56_left.PNG,100729_d68p56_right.PNG
100730.stl,59.51,50,-72,0,0,100730_d59p51_left.PNG,100730_d59p51_right.PNG
100730.stl,62.18,50,-72,0,0,100730_d62p18_left.PNG,100730_d62p18_right.PNG
100730.stl,55.80,50,-72,0,0,100730_d55p80_left.PNG,100730_d55p80_right.PNG
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",70.00,50,-85.07,-95.41,3,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d70p00_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d70p00_right.PNG"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",55.74,50,-85.07,-95.41,3,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d55p74_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d55p74_right.PNG"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",71.85,50,-85.07,-95.41,3,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d71p85_left.PNG","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_d71p85_right.PNG"
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,558.09,50,-71.2,2.73,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d558p09_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d558p09_right.PNG
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,275.66,50,-71.2,2.73,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d275p66_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d275p66_right.PNG
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,328.63,50,-71.2,2.73,0,Alexander Nevsky_8010-alley-of-rulers-moscow_d328p63_left.PNG,Alexander Nevsky_8010-alley-of-rulers-moscow_d328p63_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,519.70,50,-90.15,8.41,0,Alexis of Russia_8007-alley-of-rulers-moscow_d519p70_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d519p70_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,473.80,50,-90.15,8.41,0,Alexis of Russia_8007-alley-of-rulers-moscow_d473p80_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d473p80_right.PNG
Alexis of Russia_8007-alley-of-rulers-moscow.stl,608.29,50,-90.15,8.41,0,Alexis of Russia_8007-alley-of-rulers-moscow_d608p29_left.PNG,Alexis of Russia_8007-alley-of-rulers-moscow_d608p29_right.PNG
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,349.64,50,-90.19,-20.55,0,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d349p64_left.PNG,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_d349p64_right.PNG
