filename,d,o,rx,ry,rz,left,right
100026.stl,225.84420258562233,50,-39.31,138.56,39,100026_d225p84_left.PNG,100026_d225p84_right.PNG
100027.stl,139.5365434948469,50,-141.22,-30.85,0,100027_d139p54_left.PNG,100027_d139p54_right.PNG
100028.stl,71.23264163944488,50,-55.27,-5.26,0,100028_d71p23_left.PNG,100028_d71p23_right.PNG
100029.stl,338.55718954756173,50,37.65,1.4,0,,
100030.stl,198.73357340014107,50,-29,-21.08,0,100030_d198p73_left.PNG,100030_d198p73_right.PNG
100031.stl,111.55659215301735,50,2.82,-28.57,0,100031_d111p56_left.PNG,100031_d111p56_right.PNG
100032.stl,273.4329906577688,50,-3.76,13.78,0,,
100033.stl,295.89798350263317,50,21.91,-19.73,0,,
100034.stl,316.42170934525984,50,44.86,-1.86,0,,
100035.stl,143.98072489041232,50,18.27,5.62,0,,
100036.stl,75.28140886393348,50,96.12,-22.7,30,100036_d75p28_left.PNG,100036_d75p28_right.PNG
100037.stl,54.341170253901005,50,23,0,0,100037_d54p34_left.PNG,100037_d54p34_right.PNG
100040.stl,233.5572587270068,50,-24.1,-11.95,0,100040_d233p56_left.PNG,100040_d233p56_right.PNG
100046.stl,6.783747437268605,50,0,0,0,100046_d6p78_left.PNG,100046_d6p78_right.PNG
100047.stl,10.758132325343755,50,-25.69,-24.72,0,100047_d10p76_left.PNG,100047_d10p76_right.PNG
100070.stl,87.17961612135848,50,20.27,1.59,0,100070_d87p18_left.PNG,100070_d87p18_right.PNG
100071.stl,115.81394699062426,50,0,0,0,100071_d115p81_left.PNG,100071_d115p81_right.PNG
100072.stl,62.03734620360406,50,0,0,0,100072_d62p04_left.PNG,100072_d62p04_right.PNG
100075.stl,9.994548539341839,50,0,0,0,100075_d9p99_left.PNG,100075_d9p99_right.PNG
100139.stl,115.42366186343706,50,-51,5,0,100139_d115p42_left.PNG,100139_d115p42_right.PNG
100173.stl,121.69786403615575,50,-23,0,0,,
1001930.stl,88.35977246236027,50,0,0,0,1001930_d88p36_left.PNG,1001930_d88p36_right.PNG
1001931.stl,88.35977246236027,50,0,0,0,1001931_d88p36_left.PNG,1001931_d88p36_right.PNG
100281.stl,107.79203969144712,50,-18.42,19.85,0,,
100282.stl,150.17714406515535,50,0,0,0,,
100322.stl,219.96635365418192,50,0,0,0,,
100330.stl,88.91263957841349,50,2.37,-29.08,0,100330_d88p91_left.PNG,100330_d88p91_right.PNG
100335.stl,114.56229395554342,50,0,0,0,100335_d114p56_left.PNG,100335_d114p56_right.PNG
100336.stl,58.512764080748745,50,0,0,0,100336_d58p51_left.PNG,100336_d58p51_right.PNG
100345.stl,151.96225388324785,50,0,0,0,,
100349.stl,139.0963457849743,50,-73.93,24.71,0,100349_d139p10_left.PNG,100349_d139p10_right.PNG
100471.stl,183.03657963677188,50,-23.35,20.58,0,100471_d183p04_left.PNG,100471_d183p04_right.PNG
100478.stl,40.20026341644423,50,15,-90,0,100478_d40p20_left.PNG,100478_d40p20_right.PNG
