filename,d,o,rx,ry,rz
100026.stl,217.83,50,-39.31,138.56,39
100026.stl,176.78,50,-39.31,138.56,39
100026.stl,291.04,50,-39.31,138.56,39
100027.stl,264.15,50,-141.22,-30.85,0
100027.stl,90.38,50,-141.22,-30.85,0
100027.stl,104.33,50,-141.22,-30.85,0
100028.stl,76.14,50,-55.27,-5.26,0
100028.stl,126.06,50,-55.27,-5.26,0
100028.stl,115.81,50,-55.27,-5.26,0
100029.stl,612.93,50,37.65,1.4,0
100029.stl,416.81,50,37.65,1.4,0
100029.stl,465.72,50,37.65,1.4,0
100030.stl,179.68,50,-29,-21.08,0
100030.stl,207.16,50,-29,-21.08,0
100030.stl,124.76,50,-29,-21.08,0
100031.stl,82.74,50,2.82,-28.57,0
100031.stl,117.60,50,2.82,-28.57,0
100031.stl,122.89,50,2.82,-28.57,0
100032.stl,505.83,50,-3.76,13.78,0
100032.stl,335.27,50,-3.76,13.78,0
100032.stl,361.85,50,-3.76,13.78,0
100033.stl,389.01,50,21.91,-19.73,0
100033.stl,520.45,50,21.91,-19.73,0
100033.stl,234.61,50,21.91,-19.73,0
100034.stl,426.10,50,44.86,-1.86,0
100034.stl,450.40,50,44.86,-1.86,0
100034.stl,607.01,50,44.86,-1.86,0
100035.stl,142.82,50,18.27,5.62,0
100035.stl,153.53,50,18.27,5.62,0
100035.stl,121.45,50,18.27,5.62,0
100036.stl,55.93,50,96.12,-22.7,30
100036.stl,53.26,50,96.12,-22.7,30
100036.stl,94.38,50,96.12,-22.7,30
100037.stl,107.75,50,23,0,0
100037.stl,86.24,50,23,0,0
100037.stl,78.58,50,23,0,0
100040.stl,443.52,50,-24.1,-11.95,0
100040.stl,260.20,50,-24.1,-11.95,0
100040.stl,301.35,50,-24.1,-11.95,0
100046.stl,9.86,50,0,0,0
100046.stl,6.07,50,0,0,0
100046.stl,10.67,50,0,0,0
100047.stl,20.73,50,-25.69,-24.72,0
100047.stl,10.27,50,-25.69,-24.72,0
100047.stl,19.42,50,-25.69,-24.72,0
100070.stl,106.28,50,20.27,1.59,0
100070.stl,53.00,50,20.27,1.59,0
100070.stl,111.43,50,20.27,1.59,0
100071.stl,132.94,50,0,0,0
100071.stl,134.22,50,0,0,0
100071.stl,71.30,50,0,0,0
100072.stl,119.69,50,0,0,0
100072.stl,99.09,50,0,0,0
100072.stl,103.42,50,0,0,0
100075.stl,11.28,50,0,0,0
100075.stl,17.49,50,0,0,0
100075.stl,17.28,50,0,0,0
100139.stl,125.96,50,-51,5,0
100139.stl,106.72,50,-51,5,0
100139.stl,152.89,50,-51,5,0
100173.stl,130.17,50,-23,0,0
100173.stl,219.58,50,-23,0,0
100173.stl,236.01,50,-23,0,0
1001930.stl,106.97,50,0,0,0
1001930.stl,151.47,50,0,0,0
1001930.stl,173.09,50,0,0,0
1001931.stl,136.28,50,0,0,0
1001931.stl,127.49,50,0,0,0
1001931.stl,71.50,50,0,0,0
100281.stl,158.71,50,-18.42,19.85,0
100281.stl,122.84,50,-18.42,19.85,0
100281.stl,175.93,50,-18.42,19.85,0
100282.stl,231.49,50,0,0,0
100282.stl,234.09,50,0,0,0
100282.stl,225.57,50,0,0,0
100322.stl,140.94,50,0,0,0
100322.stl,414.24,50,0,0,0
100322.stl,279.78,50,0,0,0
100330.stl,96.31,50,2.37,-29.08,0
100330.stl,164.15,50,2.37,-29.08,0
100330.stl,167.75,50,2.37,-29.08,0
100335.stl,104.93,50,0,0,0
100335.stl,180.29,50,0,0,0
100335.stl,204.14,50,0,0,0
100336.stl,78.41,50,0,0,0
100336.stl,74.81,50,0,0,0
100336.stl,77.76,50,0,0,0
100345.stl,95.85,50,0,0,0
100345.stl,202.33,50,0,0,0
100345.stl,145.26,50,0,0,0
100349.stl,102.52,50,-73.93,24.71,0
100349.stl,189.72,50,-73.93,24.71,0
100349.stl,145.95,50,-73.93,24.71,0
100471.stl,135.59,50,-23.35,20.58,0
100471.stl,362.05,50,-23.35,20.58,0
100471.stl,205.97,50,-23.35,20.58,0
100478.stl,38.53,50,15,-90,0
100478.stl,31.96,50,15,-90,0
100478.stl,44.73,50,15,-90,0
1004824.stl,237.84,50,-86.6,-24.83,0
1004824.stl,120.22,50,-86.6,-24.83,0
1004824.stl,271.35,50,-86.6,-24.83,0
