filename,d,o,rx,ry,rz
100026.stl,647.74,50,-14.31,9.56,0
100027.stl,424.25,50,0,0,0
100028.stl,178.09,50,0,0,0
100029.stl,1719.69,50,0,0,0
100030.stl,309.26,50,-29.00,-21.08,0
100031.stl,647.53,50,0,0,0
100032.stl,1402.80,50,17.04,20.89,0
100033.stl,1459.21,50,21.91,-19.73,0
100034.stl,790.73,50,8.22,-2.25,0
100036.stl,397.16,50,9.12,-22.70,30
100037.stl,85.13,50,0,0,0
100040.stl,1124.54,50,-24.10,-11.95,0
100046.stl,34.08,50,0,0,0
100047.stl,42.08,50,-25.69,-24.72,0
100070.stl,156.36,50,20.27,1.59,0
100071.stl,447.75,50,0,0,0
100072.stl,215.55,50,0,0,0
100139.stl,312.49,50,0,0,0
100173.stl,416.86,50,0,0,0
1001930.stl,346.18,50,0,0,0
1001931.stl,361.49,50,0,0,0
100281.stl,287.32,50,-18.42,19.85,0
100282.stl,779.19,50,0,0,0
100322.stl,1005.06,50,0,0,0
100330.stl,418.11,50,0,0,0
100335.stl,293.15,50,0,0,0
100336.stl,120.77,50,0,0,0
100345.stl,674.78,50,0,0,0
100349.stl,223.07,50,-32.93,24.71,0
100471.stl,598.96,50,-23.35,20.58,0
100478.stl,165.47,50,0015,-90,0
1004824.stl,793.38,50,-86.60,-24.83,0
1004825.stl,107.78,50,90,15,0
1004826.stl,165.30,50,0,0,0
1004827.stl,432.47,50,27.53,16.95,0
100500.stl,615.91,50,28.14,23.00,0
100506.stl,946.74,50,0,0,0
1005266.stl,164.57,50,90,50,0
1005267.stl,491.04,50,90,30,0
1005268.stl,192.51,50,90,20,0
1005269.stl,463.50,50,80,50,0
1005270.stl,398.00,50,130,40,10
1005271.stl,399.73,50,90,89,0
1005272.stl,162.76,50,90,90,0
1005273.stl,215.08,50,90,110,12
1005275.stl,191.05,50,15,15,15
1005276.stl,649.34,50,10,180,10
1005277.stl,414.08,50,123,321,22
1005278.stl,249.76,50,17,171,17
1005279.stl,209.53,50,12,34,56
1005280.stl,228.86,50,123,321,123
1005281.stl,216.58,50,77,77,77
1005282.stl,388.66,50,0,0,0
1005283.stl,501.52,50,99,-18,53
1005284.stl,391.99,50,28,4,82
1005285.stl,59.26,50,29,10,20
1005286.stl,245.92,50,123,32,33
1005287.stl,511.46,50,64,82,157
1005288.stl,214.47,50,123,456,789
1005289.stl,222.72,50,26.60,8.97,0
1005290.stl,247.03,50,27.86,1.51,0
1005586.stl,1429.44,50,0,0,0
1005587.stl,1914.93,50,0,0,0
100606.stl,912.15,50,60,50,0
100638.stl,252.85,50,-18.94,11.79,0
100639.stl,63.74,50,0,0,0
100640.stl,746.48,50,28.37,27.06,0
100641.stl,69.87,50,0,0,0
100642.stl,150.62,50,0,0,0
100643.stl,324.48,50,50,50,90
100644.stl,235.80,50,-21.84,25.54,0
100645.stl,198.66,50,0,0,0
100646.stl,405.11,50,0,0,0
100678.stl,387.08,50,0,0,0
100682.stl,323.78,50,0,0,0
100727.stl,115.37,50,0,0,0
100728.stl,149.11,50,0,0,0
100729.stl,164.79,50,0,0,0
100730.stl,108.80,50,0,0,0
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",249.68,50,-142.07,49.59,0
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,654.78,50,-71.20,2.73,0
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,13095.29,50,-90,0,0
Alexis of Russia_8007-alley-of-rulers-moscow.stl,1756.85,50,-44.15,20.41,0
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,979.44,50,-37.19,-20.55,0
Arthur Ashe monument_arthur-ashe.stl,928.98,50,0,0,0
BoredFrog.stl,703.98,50,0,0,0
Boris Godunov_8009-alley-of-rulers-moscow.stl,1456.23,50,-26.90,24.55,0
Bronze Monument to Adam Mickevich_model-9008.stl,456.38,50,0,0,0
Buddha of Bamiyan (Western)_buddhas-of-bamiyan.stl,2070.75,50,0,0,0
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",887.61,50,0,0,0
Cambay style marble gravestone_bm-islam-stone-cambay-style.stl,597.35,50,0,0,0
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,868.98,50,0,0,0
