filename,d,o,rx,ry,rz,left,right
100026.stl,647.74,50,-14.31,9.56,0,100026_d647p74_left.PNG,100026_d647p74_right.PNG
100027.stl,424.25,50,0,0,0,100027_d424p25_left.PNG,100027_d424p25_right.PNG
100028.stl,178.09,50,0,0,0,100028_d178p09_left.PNG,100028_d178p09_right.PNG
100029.stl,1719.69,50,0,0,0,100029_d1719p69_left.PNG,100029_d1719p69_right.PNG
100030.stl,309.26,50,-29,-21.08,0,100030_d309p26_left.PNG,100030_d309p26_right.PNG
100031.stl,647.53,50,0,0,0,100031_d647p53_left.PNG,100031_d647p53_right.PNG
100032.stl,1402.80,50,17.04,20.89,0,100032_d1402p80_left.PNG,100032_d1402p80_right.PNG
100033.stl,1459.21,50,21.91,-19.73,0,100033_d1459p21_left.PNG,100033_d1459p21_right.PNG
100034.stl,790.73,50,8.22,-2.25,0,100034_d790p73_left.PNG,100034_d790p73_right.PNG
100035.stl,339.33,50,-9.99,19.06,0,100035_d339p33_left.PNG,100035_d339p33_right.PNG
100036.stl,397.16,50,9.12,-22.7,30,100036_d397p16_left.PNG,100036_d397p16_right.PNG
100037.stl,85.13,50,0,0,0,100037_d85p13_left.PNG,100037_d85p13_right.PNG
100040.stl,1124.54,50,-24.1,-11.95,0,100040_d1124p54_left.PNG,100040_d1124p54_right.PNG
100046.stl,34.08,50,0,0,0,100046_d34p08_left.PNG,100046_d34p08_right.PNG
100047.stl,42.08,50,-25.69,-24.72,0,100047_d42p08_left.PNG,100047_d42p08_right.PNG
100070.stl,156.36,50,20.27,1.59,0,100070_d156p36_left.PNG,100070_d156p36_right.PNG
100071.stl,447.75,50,0,0,0,100071_d447p75_left.PNG,100071_d447p75_right.PNG
100072.stl,215.55,50,0,0,0,100072_d215p55_left.PNG,100072_d215p55_right.PNG
100075.stl,16.44,50,0,0,0,100075_d16p44_left.PNG,100075_d16p44_right.PNG
100139.stl,312.49,50,0,0,0,100139_d312p49_left.PNG,100139_d312p49_right.PNG
100173.stl,416.86,50,0,0,0,100173_d416p86_left.PNG,100173_d416p86_right.PNG
1001930.stl,346.18,50,0,0,0,1001930_d346p18_left.PNG,1001930_d346p18_right.PNG
1001931.stl,361.49,50,0,0,0,1001931_d361p49_left.PNG,1001931_d361p49_right.PNG
100281.stl,287.32,50,-18.42,19.85,0,100281_d287p32_left.PNG,100281_d287p32_right.PNG
100282.stl,779.19,50,0,0,0,100282_d779p19_left.PNG,100282_d779p19_right.PNG
100322.stl,1005.06,50,0,0,0,100322_d1005p06_left.PNG,100322_d1005p06_right.PNG
100330.stl,418.11,50,0,0,0,100330_d418p11_left.PNG,100330_d418p11_right.PNG
100335.stl,293.15,50,0,0,0,100335_d293p15_left.PNG,100335_d293p15_right.PNG
100336.stl,120.77,50,0,0,0,100336_d120p77_left.PNG,100336_d120p77_right.PNG
100345.stl,674.78,50,0,0,0,100345_d674p78_left.PNG,100345_d674p78_right.PNG
100349.stl,223.07,50,-32.93,24.71,0,100349_d223p07_left.PNG,100349_d223p07_right.PNG
100471.stl,598.96,50,-23.35,20.58,0,100471_d598p96_left.PNG,100471_d598p96_right.PNG
100478.stl,165.47,50,15,-90,0,100478_d165p47_left.PNG,100478_d165p47_right.PNG
1004824.stl,793.38,50,-86.6,-24.83,0,1004824_d793p38_left.PNG,1004824_d793p38_right.PNG
1004825.stl,107.78,50,90,15,0,1004825_d107p78_left.PNG,1004825_d107p78_right.PNG
1004826.stl,165.30,50,0,0,0,1004826_d165p30_left.PNG,1004826_d165p30_right.PNG
1004827.stl,432.47,50,27.53,16.95,0,1004827_d432p47_left.PNG,1004827_d432p47_right.PNG
100500.stl,615.91,50,28.14,23,0,100500_d615p91_left.PNG,100500_d615p91_right.PNG
100506.stl,946.74,50,0,0,0,100506_d946p74_left.PNG,100506_d946p74_right.PNG
1005266.stl,164.57,50,90,50,0,1005266_d164p57_left.PNG,1005266_d164p57_right.PNG
1005267.stl,491.04,50,90,30,0,1005267_d491p04_left.PNG,1005267_d491p04_right.PNG
