filename,d,o,rx,ry,rz
BoredFrog.stl,200,50,-60.00,60.00,20.00
BoredFrog.stl,200,50,-60.00,60.00,20.00
Large_Deep_One_ver4.stl,200,50,90,90,0
piantafanculo_mano.stl,200,50,90,90,0
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",248.3,50,118.83,-170.29,6.01
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",716.5,50,109.89,37.19,-57.20
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",658.3,50,-53.19,88.88,65.08
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,624.4,50,-51.55,-123.53,-20.28
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,412.6,50,62.74,-133.47,29.11
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,642.3,50,172.33,-136.80,-160.80
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,764.5,50,150.76,-148.98,-95.28
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,391.0,50,6.98,-82.87,-171.83
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,521.2,50,98.65,62.76,-150.38
Alexis of Russia_8007-alley-of-rulers-moscow.stl,561.1,50,50.33,41.24,173.05
Alexis of Russia_8007-alley-of-rulers-moscow.stl,203.9,50,38.81,-149.30,-12.64
Alexis of Russia_8007-alley-of-rulers-moscow.stl,475.3,50,163.14,-104.00,-160.85
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,575.2,50,-79.47,31.76,-75.62
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,642.9,50,-150.18,-48.73,102.25
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,652.4,50,-20.10,138.23,-25.01
Arthur Ashe monument_arthur-ashe.stl,280.4,50,-136.43,-113.17,159.18
Arthur Ashe monument_arthur-ashe.stl,669.4,50,30.52,-25.72,112.78
Arthur Ashe monument_arthur-ashe.stl,286.6,50,18.97,38.24,-100.78
BoredFrog.stl,397.6,50,7.03,-21.48,170.07
Boris Godunov_8009-alley-of-rulers-moscow.stl,605.9,50,-32.28,-70.19,-53.77
Boris Godunov_8009-alley-of-rulers-moscow.stl,472.3,50,170.50,56.35,39.45
Boris Godunov_8009-alley-of-rulers-moscow.stl,576.8,50,-117.97,32.13,-127.78
Bronze Monument to Adam Mickevich_model-9008.stl,600.5,50,-88.22,-89.19,-18.58
Bronze Monument to Adam Mickevich_model-9008.stl,389.5,50,61.58,123.11,161.14
Bronze Monument to Adam Mickevich_model-9008.stl,239.9,50,-78.80,-146.87,-7.17
Buddha of Bamiyan (Western)_buddhas-of-bamiyan.stl,318.4,50,64.84,-153.76,42.71
Buddha of Bamiyan (Western)_buddhas-of-bamiyan.stl,374.7,50,-86.10,-96.47,-153.56
Buddha of Bamiyan (Western)_buddhas-of-bamiyan.stl,479.3,50,34.63,-124.76,-148.82
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",509.7,50,125.71,65.12,-165.22
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",574.2,50,-39.30,-64.06,-133.77
"Bust of a drunken Satyr, replica of the Herculaneum type_busto-di-satiro-ebbro-replica-del-tipo-ercolano.stl",696.6,50,154.17,-152.83,-152.23
Cambay style marble gravestone_bm-islam-stone-cambay-style.stl,175.0,50,67.66,-109.14,157.12
Cambay style marble gravestone_bm-islam-stone-cambay-style.stl,694.2,50,-76.05,-54.75,-153.18
Cambay style marble gravestone_bm-islam-stone-cambay-style.stl,580.7,50,137.55,75.49,141.30
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,556.2,50,37.95,-41.86,-84.82
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,632.6,50,126.35,138.99,163.14
Feodor I of Russia_8011-alley-of-rulers-moscow.stl,503.3,50,-102.19,57.56,2.18
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,377.3,50,-133.97,-13.42,-151.69
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,656.0,50,4.06,156.39,74.88
Figure at the entrance of Goa Gajah_goa-gaja-temple-ubud.stl,492.1,50,111.63,55.35,-97.72
Granite tub_vasca-in-granito.stl,799.1,50,-97.98,-156.27,91.10
Granite tub_vasca-in-granito.stl,527.2,50,21.84,-48.45,167.94
Granite tub_vasca-in-granito.stl,788.0,50,53.59,54.10,-161.05
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,294.4,50,31.08,-23.32,142.00
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,351.2,50,-35.25,-91.92,-11.84
Islamic Figurine of a Lion_bm-islamic-animal-figurine.stl,747.7,50,143.05,-175.92,-118.37
J. E. B. Stuart Monument_jeb-stuart.stl,632.4,50,-136.95,-67.76,84.16
J. E. B. Stuart Monument_jeb-stuart.stl,341.7,50,80.06,-132.21,119.88
J. E. B. Stuart Monument_jeb-stuart.stl,764.8,50,-170.80,-123.96,-85.11
Jefferson Davis Memorial_davis-monument.stl,639.5,50,-142.33,116.74,-134.50
Jefferson Davis Memorial_davis-monument.stl,574.2,50,98.00,-113.96,-159.59
Jefferson Davis Memorial_davis-monument.stl,318.6,50,13.84,-153.85,145.15
Large_Deep_One_ver4.stl,232.8,50,6.84,-163.49,-63.39
Large_Deep_One_ver4.stl,515.4,50,-74.82,-112.95,-159.73
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,330.0,50,155.68,-116.92,-144.76
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,285.3,50,-116.05,75.85,90.86
Left side triton of Trevi Fountain_trevi-fountain-left-side-sculpture-trevi-fountain.stl,412.8,50,92.14,-92.10,172.58
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",241.7,50,-123.24,-57.75,83.87
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",458.2,50,79.69,27.06,139.55
"Male portrait on an ancient bust, called Caesar_ritratto-maschile-su-busto-antico-non-pertinente-detto-cesare.stl",490.3,50,-65.56,88.67,-147.17
Michael of Russia_8008-alley-of-rulers-moscow.stl,687.3,50,-50.81,-159.33,104.70
Michael of Russia_8008-alley-of-rulers-moscow.stl,328.7,50,156.25,-69.18,52.69
Michael of Russia_8008-alley-of-rulers-moscow.stl,563.9,50,174.94,149.33,136.94
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,302.4,50,-28.82,10.65,-11.62
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,620.4,50,97.26,-176.25,-140.24
Modern portrait bust known as Scipio_busto-ritratto-moderno-detto-scipione3.stl,229.0,50,179.53,18.17,41.72
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,738.5,50,96.61,-52.20,-40.30
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,316.5,50,-122.27,72.51,-138.80
Modern portrait of Tiberius_ritratto-moderno-di-tiberio.stl,279.1,50,-53.04,-123.19,-101.80
Monkey God_monkey-god-sculpture.stl,510.8,50,39.46,-16.08,-9.75
Monkey God_monkey-god-sculpture.stl,442.1,50,133.08,-113.32,-67.44
Monkey God_monkey-god-sculpture.stl,495.3,50,-169.62,-118.07,156.48
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,223.7,50,-135.47,-27.01,75.87
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,176.7,50,-79.59,53.14,7.98
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,773.5,50,-23.44,116.44,-105.18
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,321.4,50,-50.84,-71.53,-149.00
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,265.3,50,16.28,-134.84,63.85
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,515.4,50,6.22,144.88,105.18
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,692.2,50,-120.98,-104.49,19.65
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,270.6,50,-90.17,5.83,-149.33
