filename,d,o,rx,ry,rz,left,right
BoredFrog.stl,200,50,-60.00,60.00,20.00,BoredFrog_row2_left.png,BoredFrog_row2_right.png
BoredFrog.stl,200,50,-60.00,60.00,20.00,BoredFrog_row3_left.png,BoredFrog_row3_right.png
Large_Deep_One_ver4.stl,200,50,90,90,0,Large_Deep_One_ver4_row4_left.png,Large_Deep_One_ver4_row4_right.png
piantafanculo_mano.stl,200,50,90,90,0,piantafanculo_mano_row5_left.png,piantafanculo_mano_row5_right.png
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",248.3,50,118.83,-170.29,6.01,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_row6_left.png","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_row6_right.png"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",716.5,50,109.89,37.19,-57.20,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_row7_left.png","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_row7_right.png"
"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1.stl",658.3,50,-53.19,88.88,65.08,"2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_row8_left.png","2016_ Musical bench of Oginsky in Minsk, Belarus_model-9013-1_row8_right.png"
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,624.4,50,-51.55,-123.53,-20.28,Alexander Nevsky_8010-alley-of-rulers-moscow_row9_left.png,Alexander Nevsky_8010-alley-of-rulers-moscow_row9_right.png
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,412.6,50,62.74,-133.47,29.11,Alexander Nevsky_8010-alley-of-rulers-moscow_row10_left.png,Alexander Nevsky_8010-alley-of-rulers-moscow_row10_right.png
Alexander Nevsky_8010-alley-of-rulers-moscow.stl,642.3,50,172.33,-136.80,-160.80,Alexander Nevsky_8010-alley-of-rulers-moscow_row11_left.png,Alexander Nevsky_8010-alley-of-rulers-moscow_row11_right.png
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,764.5,50,150.76,-148.98,-95.28,Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j_row12_left.png,Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j_row12_right.png
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,391.0,50,6.98,-82.87,-171.83,Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j_row13_left.png,Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j_row13_right.png
Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j.stl,521.2,50,98.65,62.76,-150.38,Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j_row14_left.png,Alexander the Great's Entry into Babylon (Panel 10_10)_a508-j_row14_right.png
Alexis of Russia_8007-alley-of-rulers-moscow.stl,561.1,50,50.33,41.24,173.05,Alexis of Russia_8007-alley-of-rulers-moscow_row15_left.png,Alexis of Russia_8007-alley-of-rulers-moscow_row15_right.png
Alexis of Russia_8007-alley-of-rulers-moscow.stl,203.9,50,38.81,-149.30,-12.64,Alexis of Russia_8007-alley-of-rulers-moscow_row16_left.png,Alexis of Russia_8007-alley-of-rulers-moscow_row16_right.png
Alexis of Russia_8007-alley-of-rulers-moscow.stl,475.3,50,163.14,-104.00,-160.85,Alexis of Russia_8007-alley-of-rulers-moscow_row17_left.png,Alexis of Russia_8007-alley-of-rulers-moscow_row17_right.png
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,575.2,50,-79.47,31.76,-75.62,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_row18_left.png,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_row18_right.png
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,642.9,50,-150.18,-48.73,102.25,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_row19_left.png,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_row19_right.png
Andrey Bogolyubsky_8004-alley-of-rulers-moscow.stl,652.4,50,-20.10,138.23,-25.01,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_row20_left.png,Andrey Bogolyubsky_8004-alley-of-rulers-moscow_row20_right.png
Arthur Ashe monument_arthur-ashe.stl,280.4,50,-136.43,-113.17,159.18,Arthur Ashe monument_arthur-ashe_row21_left.png,Arthur Ashe monument_arthur-ashe_row21_right.png
Arthur Ashe monument_arthur-ashe.stl,669.4,50,30.52,-25.72,112.78,Arthur Ashe monument_arthur-ashe_row22_left.png,Arthur Ashe monument_arthur-ashe_row22_right.png
Arthur Ashe monument_arthur-ashe.stl,286.6,50,18.97,38.24,-100.78,Arthur Ashe monument_arthur-ashe_row23_left.png,Arthur Ashe monument_arthur-ashe_row23_right.png
BoredFrog.stl,397.6,50,7.03,-21.48,170.07,BoredFrog_row24_left.png,BoredFrog_row24_right.png
Boris Godunov_8009-alley-of-rulers-moscow.stl,605.9,50,-32.28,-70.19,-53.77,Boris Godunov_8009-alley-of-rulers-moscow_row25_left.png,Boris Godunov_8009-alley-of-rulers-moscow_row25_right.png
Boris Godunov_8009-alley-of-rulers-moscow.stl,472.3,50,170.50,56.35,39.45,Boris Godunov_8009-alley-of-rulers-moscow_row26_left.png,Boris Godunov_8009-alley-of-rulers-moscow_row26_right.png
Boris Godunov_8009-alley-of-rulers-moscow.stl,576.8,50,-117.97,32.13,-127.78,Boris Godunov_8009-alley-of-rulers-moscow_row27_left.png,Boris Godunov_8009-alley-of-rulers-moscow_row27_right.png
Bronze Monument to Adam Mickevich_model-9008.stl,600.5,50,-88.22,-89.19,-18.58,Bronze Monument to Adam Mickevich_model-9008_row28_left.png,Bronze Monument to Adam Mickevich_model-9008_row28_right.png
Bronze Monument to Adam Mickevich_model-9008.stl,389.5,50,61.58,123.11,161.14,Bronze Monument to Adam Mickevich_model-9008_row29_left.png,Bronze Monument to Adam Mickevich_model-9008_row29_right.png
Bronze Monument to Adam Mickevich_model-9008.stl,239.9,50,-78.80,-146.87,-7.17,Bronze Monument to Adam Mickevich_model-9008_row30_left.png,Bronze Monument to Adam Mickevich_model-9008_row30_right.png
Buddha of Bamiyan (Western)_buddhas-of-bamiyan.stl,318.4,50,64.84,-153.76,42.71,Buddha of Bamiyan (Western)_buddhas-of-bamiyan_row31_left.png,Buddha of Bamiyan (Western)_buddhas-of-bamiyan_row31_right.png
